categoria,url
PAPER,http://arxiv.org/abs/2505.10367v2
PAPER,http://arxiv.org/abs/2402.01649v1
PAPER,http://arxiv.org/abs/2207.00538v1
PAPER,http://arxiv.org/abs/2509.12383v1
PAPER,http://arxiv.org/abs/2407.03331v2
PAPER,http://arxiv.org/abs/2002.12789v1
PAPER,http://arxiv.org/abs/2206.03237v2
PAPER,https://arxiv.org/abs/2108.08676
PAPER,http://arxiv.org/abs/2512.19029v1
PAPER,http://arxiv.org/abs/2510.02155v1
PAPER,http://arxiv.org/abs/2509.09592v1
PAPER,http://arxiv.org/abs/2306.16424v3
PAPER,http://arxiv.org/abs/1906.11427v1
PAPER,https://dl.acm.org/doi/abs/10.1145/3511808.3557641
PAPER,http://arxiv.org/abs/quant-ph/0406129v1
PAPER,http://arxiv.org/abs/2508.21366v1
PAPER,http://arxiv.org/abs/1805.01081v1
PAPER,http://arxiv.org/abs/1411.2188v1
PAPER,https://arxiv.org/abs/2008.05600
PAPER,http://arxiv.org/abs/2502.10321v1
PAPER,http://arxiv.org/abs/1111.4499v1
PAPER,http://arxiv.org/abs/1807.00819v1
PAPER,http://arxiv.org/abs/2509.00042v1
PAPER,http://arxiv.org/abs/2506.19870v1
PAPER,https://arxiv.org/abs/1703.02002
PAPER,http://arxiv.org/abs/1702.05809v1
PAPER,http://arxiv.org/abs/2509.19032v2
PAPER,http://arxiv.org/abs/1903.12458v1
PAPER,http://arxiv.org/abs/1307.0076v1
PAPER,http://arxiv.org/abs/2001.09011v1
PAPER,http://arxiv.org/abs/2112.12024v1
PAPER,http://arxiv.org/abs/2111.01676v2
PAPER,http://arxiv.org/abs/2410.09305v1
PAPER,http://arxiv.org/abs/2409.07717v1
PAPER,https://arxiv.org/abs/2004.04834
PAPER,http://arxiv.org/abs/2509.02530v1
PAPER,https://arxiv.org/abs/2005.10150
PAPER,http://arxiv.org/abs/2411.13564v1
PAPER,http://arxiv.org/abs/2002.05988v2
PAPER,http://arxiv.org/abs/1009.5338v1
PAPER,http://arxiv.org/abs/2507.10608v1
PAPER,http://arxiv.org/abs/2501.19267v1
PAPER,http://arxiv.org/abs/2012.12111v4
PAPER,http://arxiv.org/abs/2303.17486v1
PAPER,http://arxiv.org/abs/1212.6837v1
PAPER,http://arxiv.org/abs/1805.06080v1
PAPER,https://dl.acm.org/doi/fullHtml/10.1145/3366423.3380172
PAPER,http://arxiv.org/abs/2111.10824v1
PAPER,http://arxiv.org/abs/1812.02726v2
PAPER,https://ieeexplore.ieee.org/document/6137222
PAPER,http://arxiv.org/abs/2506.04292v2
PAPER,http://arxiv.org/abs/2406.15126v1
PAPER,http://arxiv.org/abs/2509.08424v1
PAPER,http://arxiv.org/abs/2007.04639v1
PAPER,http://arxiv.org/abs/2405.06097v1
PAPER,http://arxiv.org/abs/2112.04234v1
PAPER,http://arxiv.org/abs/2312.13218v1
PAPER,http://arxiv.org/abs/1807.06824v1
PAPER,http://arxiv.org/abs/2109.02331v2
PAPER,http://arxiv.org/abs/2412.07437v1
PAPER,http://arxiv.org/abs/2509.18499v1
PAPER,http://arxiv.org/abs/2507.08835v1
PAPER,http://arxiv.org/abs/2405.11619v1
PAPER,https://arxiv.org/abs/1709.04129
PAPER,http://arxiv.org/abs/2502.00396v2
PAPER,http://arxiv.org/abs/2509.11605v2
PAPER,http://arxiv.org/abs/2511.22785v1
PAPER,http://arxiv.org/abs/1101.0723v1
PAPER,http://arxiv.org/abs/2403.19735v1
PAPER,http://arxiv.org/abs/2101.08212v1
PAPER,http://arxiv.org/abs/2507.05552v1
PAPER,http://arxiv.org/abs/2207.07863v2
PAPER,http://arxiv.org/abs/2509.19359v1
PAPER,http://arxiv.org/abs/2007.11955v1
PAPER,http://arxiv.org/abs/2306.01008v1
PAPER,http://arxiv.org/abs/2506.06653v1
PAPER,http://arxiv.org/abs/2306.11884v1
PAPER,http://arxiv.org/abs/2403.00707v2
PAPER,http://arxiv.org/abs/1103.0894v1
PAPER,http://arxiv.org/abs/2205.15508v1
PAPER,http://arxiv.org/abs/q-alg/9704008v3
PAPER,http://arxiv.org/abs/0812.4028v1
PAPER,http://arxiv.org/abs/2505.04835v1
PAPER,http://arxiv.org/abs/2005.10488v1
PAPER,http://arxiv.org/abs/2311.10723v2
PAPER,http://arxiv.org/abs/2209.01642v1
PAPER,http://arxiv.org/abs/2410.02152v1
PAPER,http://arxiv.org/abs/1811.08604v1
PAPER,http://arxiv.org/abs/1910.14614v1
PAPER,http://arxiv.org/abs/2512.17660v1
PAPER,http://arxiv.org/abs/1906.11057v1
PAPER,http://arxiv.org/abs/2111.03707v1
PAPER,http://arxiv.org/abs/1410.4672v1
PAPER,http://arxiv.org/abs/2310.15934v1
PAPER,http://arxiv.org/abs/2404.06832v1
PAPER,http://arxiv.org/abs/2308.08683v1
PAPER,https://dl.acm.org/doi/abs/10.1145/3511808.3557598
PAPER,http://scholar.google.com/citations?view_op=top_venues&hl=en&vq=eng
PAPER,http://arxiv.org/abs/2409.00823v1
PAPER,http://arxiv.org/abs/2211.02927v3
PAPER,https://arxiv.org/abs/2005.00625
PAPER,http://arxiv.org/abs/2509.23843v1
PAPER,http://arxiv.org/abs/1402.1001v1
PAPER,http://arxiv.org/abs/0909.1974v2
PAPER,https://arxiv.org/abs/1705.02505
PAPER,http://arxiv.org/abs/2206.08662v3
PAPER,http://arxiv.org/abs/1908.09156v1
PAPER,https://dl.acm.org/citation.cfm?id=1150532
PAPER,http://arxiv.org/abs/1811.06109v1
PAPER,http://arxiv.org/abs/2107.01746v2
PAPER,http://arxiv.org/abs/1708.05907v1
PAPER,http://arxiv.org/abs/2006.03504v2
PAPER,https://arxiv.org/abs/2303.18138
PAPER,http://arxiv.org/abs/2501.00757v1
PAPER,http://arxiv.org/abs/2208.11900v1
PAPER,http://arxiv.org/abs/2007.12007v1
PAPER,http://arxiv.org/abs/1712.00235v1
PAPER,http://arxiv.org/abs/1811.08949v1
PAPER,http://arxiv.org/abs/1112.5732v1
PAPER,http://arxiv.org/abs/2410.15439v1
PAPER,http://arxiv.org/abs/2012.03586v2
PAPER,http://arxiv.org/abs/1805.01554v1
PAPER,http://arxiv.org/abs/2006.00618v1
PAPER,http://arxiv.org/abs/2107.06855v2
PAPER,http://arxiv.org/abs/1309.7261v1
PAPER,http://arxiv.org/abs/2510.18998v1
PAPER,http://arxiv.org/abs/1704.05014v2
PAPER,http://arxiv.org/abs/1202.2980v1
PAPER,http://arxiv.org/abs/2507.14785v2
PAPER,http://arxiv.org/abs/1809.01774v1
PAPER,https://dl.acm.org/doi/10.1145/3366424.3391266
PAPER,http://arxiv.org/abs/2403.09735v1
PAPER,http://arxiv.org/abs/2208.14417v3
PAPER,http://arxiv.org/abs/1202.2447v2
PAPER,http://arxiv.org/abs/1603.02270v1
PAPER,http://arxiv.org/abs/1807.05581v5
PAPER,http://arxiv.org/abs/1110.5353v1
PAPER,http://arxiv.org/abs/1301.6899v1
PAPER,http://arxiv.org/abs/2309.15500v2
PAPER,http://arxiv.org/abs/1412.5558v1
PAPER,http://arxiv.org/abs/1603.01341v8
PAPER,http://arxiv.org/abs/2504.08183v1
PAPER,http://arxiv.org/abs/2511.02518v1
PAPER,http://arxiv.org/abs/2509.08375v1
PAPER,http://arxiv.org/abs/1812.07312v2
PAPER,http://arxiv.org/abs/2507.22692v1
PAPER,http://arxiv.org/abs/2007.04193v2
PAPER,http://arxiv.org/abs/2005.12433v1
PAPER,http://arxiv.org/abs/2303.07584v1
PAPER,http://arxiv.org/abs/2402.14708v2
PAPER,http://arxiv.org/abs/1412.2463v1
PAPER,http://arxiv.org/abs/1806.07129v1
PAPER,http://arxiv.org/abs/1510.03146v1
PAPER,http://arxiv.org/abs/2510.09110v3
PAPER,http://arxiv.org/abs/2208.06792v1
PAPER,http://arxiv.org/abs/2104.10074v2
PAPER,http://arxiv.org/abs/1911.09259v2
PAPER,http://arxiv.org/abs/2405.16693v1
PAPER,http://arxiv.org/abs/2407.08758v1
PAPER,http://arxiv.org/abs/2503.20477v1
PAPER,http://arxiv.org/abs/1412.4839v1
PAPER,http://arxiv.org/abs/2503.24259v1
PAPER,http://arxiv.org/abs/2102.10978v1
PAPER,http://arxiv.org/abs/1110.0360v1
PAPER,http://arxiv.org/abs/1502.06824v1
PAPER,http://arxiv.org/abs/1407.3390v1
PAPER,http://arxiv.org/abs/2206.08401v4
PAPER,http://arxiv.org/abs/2004.03960v1
PAPER,http://arxiv.org/abs/1912.11760v2
PAPER,http://arxiv.org/abs/2304.04819v2
PAPER,http://arxiv.org/abs/1902.01941v1
PAPER,http://arxiv.org/abs/2007.03477v1
PAPER,http://arxiv.org/abs/2412.18287v1
PAPER,http://arxiv.org/abs/1912.04492v1
PAPER,http://arxiv.org/abs/1912.12060v1
PAPER,http://arxiv.org/abs/1402.5300v2
PAPER,http://arxiv.org/abs/2509.10152v1
PAPER,http://arxiv.org/abs/1911.06159v2
PAPER,http://arxiv.org/abs/2211.06675v1
PAPER,http://arxiv.org/abs/2203.10465v4
PAPER,https://dl.acm.org/citation.cfm?id=3331372
PAPER,http://arxiv.org/abs/2408.01690v2
PAPER,http://arxiv.org/abs/2011.12193v3
PAPER,http://arxiv.org/abs/2011.14024v1
PAPER,http://arxiv.org/abs/2511.12951v1
PAPER,http://arxiv.org/abs/2505.06766v1
PAPER,https://dl.acm.org/citation.cfm?id=1281192.1281293
PAPER,http://arxiv.org/abs/1109.1074v1
PAPER,http://arxiv.org/abs/2505.22521v2
PAPER,http://arxiv.org/abs/2310.04171v3
PAPER,http://arxiv.org/abs/2509.09928v1
