categoria,url,title,source
CASES,https://www.acfcs.org/blog/,ACFCS - Blog,additional_sources
CASES,https://www.americanbanker.com/tag/fraud,American Banker - Fraud,additional_sources
CASES,https://www.aml-magazine.com/,AML Magazine,additional_sources
CASES,https://www.anti-moneylaundering.com/news/,Anti-Money Laundering - News,additional_sources
CASES,https://www.bankingdive.com/topic/fraud-risk/,Banking Dive - Fraud Risk,additional_sources
CASES,https://www.bloomberg.com/fraud-watch,Bloomberg - Fraud Watch,additional_sources
CASES,https://www.buzzfeednews.com/section/finance,BuzzFeed News - Finance,additional_sources
CASES,https://www.cftc.gov/PressRoom/PressReleases,CFTC - Press Releases,additional_sources
CASES,https://www.complianceweek.com/fraud/,Compliance Week - Fraud,additional_sources
CASES,https://www.fbi.gov/investigate/white-collar-crime,FBI - White Collar Crime,additional_sources
CASES,https://www.fccaml.org/publications/,FCCA - Publications,additional_sources
CASES,https://www.ft.com/stream/fraud,Financial Times - Fraud,additional_sources
CASES,https://www.globalinvestigationsreview.com/,Global Investigations Review,additional_sources
CASES,https://www.icij.org/investigations/,ICIJ - Investigations,additional_sources
CASES,https://www.interpol.int/en/Crimes/Financial-crime,Interpol - Financial Crime,additional_sources
CASES,https://www.jdsupra.com/topics/fraud/,JD Supra - Fraud Articles,additional_sources
CASES,https://www.justice.gov/criminal-fraud/significant-fraud-cases,DOJ - Significant Fraud Cases,additional_sources
CASES,https://www.lexology.com/hub/financial-crime,Lexology - Financial Crime,additional_sources
CASES,https://www.moneylaundering.com/news/,MoneyLaundering.com - News,additional_sources
CASES,https://www.occrp.org/en/investigations,OCCRP - Investigations,additional_sources
CASES,https://www.paymentscardsandmobile.com/fraud/,Payments Cards Mobile - Fraud,additional_sources
CASES,https://www.propublica.org/topics/finance,ProPublica - Finance,additional_sources
CASES,https://www.regulationasia.com/category/anti-money-laundering/,Regulation Asia - AML,additional_sources
CASES,https://www.sec.gov/litigation/litreleases.shtml,SEC - Litigation Releases,additional_sources
CASES,https://www.theguardian.com/business/banking,The Guardian - Banking,additional_sources
CASES,https://www.theintercept.com/collections/finances/,The Intercept - Finance,additional_sources
CASES,https://www.transparency.org/en/news,Transparency International - News,additional_sources
CASES,https://www.treasury.gov/press-center/press-releases,US Treasury - Press Releases,additional_sources
